id;first_name;last_name;email;phone_number;study_start;study_end
1;Феоктист;Lockman;Gostomysl_Willms92@gmail.com;offensively;2023-10-31T11:41:51;2023-10-31T13:32:48
2;Святополк;Pollich;Tamara_Douglas36@yahoo.com;nimble;2023-11-01T03:18:19;2023-10-31T19:02:24
3;Ипполит;Thiel;Artem.Wolff@hotmail.com;massage into;2023-11-01T03:37:21;2023-10-31T17:06:22
4;Исай;Turner;Mariya.Powlowski@yandex.ru;in;2023-10-31T18:46:52;2023-10-31T19:15:09
5;Кузьма;Schmeler;Iosif.Murphy72@ya.ru;expert;2023-10-31T12:52:14;2023-10-31T22:57:23
6;Петр;Brekke;Viktoriya_Heathcote13@hotmail.com;repeatedly however reprimand;2023-11-01T03:42:12;2023-10-31T21:31:11
7;Евфросиния;Stark;Kazimir56@yahoo.com;bouncy and motorcar;2023-10-31T23:54:10;2023-11-01T03:00:54
8;Владилен;Walsh;Nikifor29@hotmail.com;if likewise so;2023-10-31T13:31:17;2023-10-31T21:28:07
9;Самсон;Rodriguez;Vatslav.Mertz-Kessler23@yandex.ru;when truly retouch;2023-10-31T12:14:56;2023-11-01T05:15:47
10;Майя;Dickens;Karp_Crist@ya.ru;meteorology festoon yet;2023-11-01T03:07:34;2023-10-31T21:46:14
